site,sector,country,tls_version,key_exchange,cdn,attribution
google.com,control,USA,TLSv1.3,X25519MLKEM768,Google,PQC own effort
www.canada.ca,gov,CANADA,TLSv1.3,"ECDH, prime256v1, 256 bits",Akamai,No PQC
netflix.com,control,USA,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
edmonton.ca,gov,CANADA,TLSv1.3,"X25519, 253 bits",Google,No PQC
cloudflare.com,control,USA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC own effort
ontario.ca,gov,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon CloudFront,No PQC
alberta.ca,gov,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Cloudflare,No PQC
rbc.com,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
td.com,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
scotiabank.com,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
cibc.com,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
utoronto.ca,university,CANADA,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
mcgill.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Azure Front Door,No PQC
nshealth.ca,hospital,CANADA,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
dal.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Fastly,No PQC
smu.ca,university,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
www.linkedin.com,control,USA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
bankofcanada.ca,gov,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
quebec.ca,gov,CANADA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
aircanada.com,control,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
uwaterloo.ca,university,CANADA,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
ubc.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Amazon CloudFront,No PQC
sickkids.ca,hospital,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
uhn.ca,hospital,CANADA,TLSv1.3,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
sunnybrook.ca,hospital,CANADA,TLSv1.3,X25519MLKEM768,Sucuri,PQC via provider
camh.ca,hospital,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
ottawahospital.on.ca,hospital,CANADA,TLSv1.3,"X25519, 253 bits",Microsoft (Azure),No PQC
albertahealthservices.ca,hospital,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
fraserhealth.ca,hospital,CANADA,TLSv1.3,"X25519, 253 bits",Microsoft (Azure),No PQC
muhc.ca,hospital,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
cheo.on.ca,hospital,CANADA,TLSv1.2,"ECDH, secp384r1, 384 bits",Microsoft (Azure),No PQC
unityhealth.to,hospital,CANADA,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
trilliumhealthpartners.ca,hospital,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
bmo.com,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
nbc.ca,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
desjardins.com,bank,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
atb.com,bank,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
tangerine.ca,bank,CANADA,TLSv1.3,"X25519, 253 bits",Fastly,No PQC
wealthsimple.com,bank,CANADA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
ualberta.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Amazon CloudFront,No PQC
ucalgary.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
queensu.ca,university,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Azure Front Door,No PQC
yorku.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
mcmaster.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
uottawa.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Cloudflare,No PQC
ulaval.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
calgary.ca,gov,CANADA,TLSv1.3,"ECDH, prime256v1, 256 bits",Azure Front Door,No PQC
ottawa.ca,gov,CANADA,TLSv1.3,X25519MLKEM768,Imperva (Incapsula),PQC via provider
halifax.ca,gov,CANADA,TLSv1.3,"X25519, 253 bits",Microsoft (Azure),No PQC
statcan.gc.ca,gov,CANADA,TLSv1.2,"ECDH, secp521r1, 521 bits",Microsoft (Azure),No PQC
icloud.com,control,USA,TLSv1.3,X25519MLKEM768,Self-hosted,PQC own effort
cra-arc.gc.ca,gov,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
justice.gc.ca,gov,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
ic.gc.ca,gov,CANADA,TLSv1.3,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
pm.gc.ca,gov,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
forces.gc.ca,gov,CANADA,TLSv1.2,"ECDH, secp384r1, 384 bits",Self-hosted,No PQC
gov.bc.ca,gov,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
saskatchewan.ca,gov,CANADA,TLSv1.3,"X25519, 253 bits",Cloudflare,No PQC
manitoba.ca,gov,CANADA,TLSv1.3,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
novascotia.ca,gov,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Cloudflare,No PQC
gnb.ca,gov,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
vancouver.ca,gov,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
montreal.ca,gov,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
winnipeg.ca,gov,CANADA,TLSv1.3,"ECDH, prime256v1, 256 bits",F5,No PQC
bell.ca,telco,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
rogers.com,telco,CANADA,TLSv1.3,"X25519, 253 bits",Microsoft (Azure),No PQC
telus.com,telco,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
canadiantire.ca,retail,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
loblaws.ca,retail,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
walmart.ca,retail,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
shopify.com,retail,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
cbc.ca,media,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
ctvnews.ca,media,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
theglobeandmail.com,media,CANADA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
canadapost.ca,transport,CANADA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
viarail.ca,transport,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Fastly,No PQC
westjet.com,transport,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
facebook.com,control,USA,TLSv1.3,X25519MLKEM768,Self-hosted,PQC own effort
microsoft.com,control,USA,TLSv1.3,"ECDH, prime256v1, 256 bits",Azure Front Door,No PQC
apple.com,control,USA,TLSv1.3,X25519MLKEM768,Self-hosted,PQC own effort
equitablebank.ca,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
meridiancu.ca,bank,CANADA,TLSv1.3,X25519MLKEM768,Imperva (Incapsula),PQC via provider
vancity.com,bank,CANADA,TLSv1.3,X25519MLKEM768,Amazon (AWS),PQC via provider
coastcapitalsavings.com,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
cwbank.com,bank,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
laurentianbank.ca,bank,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
manulife.ca,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
sunlife.ca,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
carleton.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
torontomu.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
uvic.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
umanitoba.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
usask.ca,university,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
concordia.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
mun.ca,university,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
mountsinai.on.ca,hospital,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
hsnsudbury.ca,hospital,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
niagarahealth.on.ca,hospital,CANADA,TLSv1.3,X25519MLKEM768,Amazon (AWS),PQC via provider
mackenziehealth.ca,hospital,CANADA,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
vch.ca,hospital,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon CloudFront,No PQC
providencehealth.bc.ca,hospital,CANADA,TLSv1.2,"ECDH, secp521r1, 521 bits",Self-hosted,No PQC
service.canada.ca,gov,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
esdc.gc.ca,gov,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
nrcan.gc.ca,gov,CANADA,TLSv1.3,"ECDH, secp521r1, 521 bits",Amazon CloudFront,No PQC
ec.gc.ca,gov,CANADA,TLSv1.3,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
tc.gc.ca,gov,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
veterans.gc.ca,gov,CANADA,TLSv1.3,"X25519, 253 bits",Microsoft (Azure),No PQC
princeedwardisland.ca,gov,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
gov.nl.ca,gov,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
yukon.ca,gov,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
gov.nu.ca,gov,CANADA,TLSv1.3,"X25519, 253 bits",Cloudflare,No PQC
saskatoon.ca,gov,CANADA,TLSv1.3,"ECDH, secp521r1, 521 bits",Fastly,No PQC
london.ca,gov,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
mississauga.ca,gov,CANADA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
brampton.ca,gov,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
regina.ca,gov,CANADA,TLSv1.3,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
victoria.ca,gov,CANADA,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
shaw.ca,telco,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
videotron.com,telco,CANADA,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
freedommobile.ca,telco,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon CloudFront,No PQC
sobeys.com,retail,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
indigo.ca,retail,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
lululemon.com,retail,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
thebay.com,retail,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
shoppersdrugmart.ca,retail,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
metro.ca,retail,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
nationalpost.com,media,CANADA,TLSv1.3,"X25519, 253 bits",Google,No PQC
thestar.com,media,CANADA,TLSv1.3,X25519MLKEM768,Self-hosted,PQC own effort
lapresse.ca,media,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon CloudFront,No PQC
ttc.ca,transport,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Microsoft (Azure),No PQC
yvr.ca,transport,CANADA,TLSv1.3,"ECDH, secp521r1, 521 bits",Cloudflare,No PQC
torontopearson.com,transport,CANADA,TLSv1.3,"X25519, 253 bits",Radware,No PQC
amazon.com,control,USA,TLSv1.3,"X25519, 253 bits",Amazon CloudFront,No PQC
github.com,control,USA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
wikipedia.org,control,INTL,TLSv1.3,X25519MLKEM768,Self-hosted,PQC own effort
youtube.com,control,USA,TLSv1.3,X25519MLKEM768,Google,PQC own effort
nytimes.com,control,USA,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
chase.com,bank,USA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
wellsfargo.com,bank,USA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
intact.ca,bank,CANADA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
aviva.ca,bank,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Fastly,No PQC
cooperators.com,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
paypal.com,control,USA,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
stripe.com,control,USA,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
mastercard.ca,control,USA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
visa.ca,control,USA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
senecacollege.ca,university,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Akamai,No PQC
humber.ca,university,CANADA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
algonquincollege.com,university,CANADA,TLSv1.3,X25519MLKEM768,Amazon (AWS),PQC via provider
nait.ca,university,CANADA,TLSv1.3,"ECDH, secp521r1, 521 bits",Microsoft (Azure),No PQC
bcit.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
bestbuy.ca,retail,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
homedepot.ca,retail,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
costco.ca,retail,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
ikea.com,retail,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
staples.ca,retail,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
timhortons.com,retail,CANADA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
mcdonalds.com,retail,USA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
starbucks.com,retail,USA,TLSv1.3,"X25519, 253 bits",Azure Front Door,No PQC
subway.com,retail,USA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
pizzapizza.ca,retail,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Akamai,No PQC
edc.ca,gov,CANADA,TLSv1.3,X25519MLKEM768,Amazon (AWS),PQC via provider
bdc.ca,gov,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
nserc-crsng.gc.ca,gov,CANADA,TLSv1.2,"DH, 2048 bits",Self-hosted,No PQC
cihr-irsc.gc.ca,gov,CANADA,TLSv1.3,"ECDH, prime256v1, 256 bits",Microsoft (Azure),No PQC
yyc.com,transport,CANADA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
yow.ca,transport,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
yul.com,transport,CANADA,TLSv1.3,"ECDH, secp384r1, 384 bits",Network Solutions,No PQC
gatineau.ca,gov,CANADA,TLSv1.2,"ECDH, secp384r1, 384 bits",Self-hosted,No PQC
markham.ca,gov,CANADA,TLSv1.2,"X25519, 253 bits",DOSarrest,No PQC
burnaby.ca,gov,CANADA,TLSv1.3,"X25519, 253 bits",Cloudflare,No PQC
richmond.ca,gov,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
bbc.co.uk,media,UK,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
gov.uk,gov,UK,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
nhs.uk,hospital,UK,TLSv1.2,"ECDH, prime256v1, 256 bits",Azure Front Door,No PQC
barclays.co.uk,bank,UK,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
hsbc.co.uk,bank,UK,TLSv1.3,"X25519, 253 bits",Amazon CloudFront,No PQC
spotify.com,control,USA,TLSv1.3,"X25519, 253 bits",Fastly,No PQC
airbnb.com,control,USA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
reddit.com,control,USA,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
opentext.com,control,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",OpenText,No PQC
blackberry.com,control,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Akamai,No PQC
hootsuite.com,control,CANADA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
lightspeedhq.com,control,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
1password.com,control,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
ebay.com,retail,USA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
instagram.com,control,USA,TLSv1.3,X25519MLKEM768,Self-hosted,PQC own effort
servus.ca,bank,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
alterna.ca,bank,CANADA,TLSv1.2,"X25519, 253 bits",Microsoft (Azure),No PQC
canlife.com,bank,CANADA,TLSv1.3,"X25519, 253 bits",Cloudflare,No PQC
tdinsurance.com,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
belairdirect.com,bank,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
allstate.ca,bank,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Azure Front Door,No PQC
empire.ca,bank,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
uqam.ca,university,CANADA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
usherbrooke.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
ubishops.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
georgebrown.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
centennialcollege.ca,university,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
mohawkcollege.ca,university,CANADA,TLSv1.2,"ECDH, secp384r1, 384 bits",Self-hosted,No PQC
conestogac.on.ca,university,CANADA,TLSv1.2,"X25519, 253 bits",Self-hosted,No PQC
sait.ca,university,CANADA,TLSv1.3,"ECDH, prime256v1, 256 bits",Azure Front Door,No PQC
hamiltonhealthsciences.ca,hospital,CANADA,TLSv1.3,X25519MLKEM768,Sucuri,PQC via provider
humberriverhealth.ca,hospital,CANADA,TLSv1.2,"X25519, 253 bits",Nuday,No PQC
bcchildrens.ca,hospital,CANADA,TLSv1.3,"X25519, 253 bits",Amazon CloudFront,No PQC
chu-sainte-justine.org,hospital,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
bchydro.com,gov,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
enmax.com,gov,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
epcor.com,gov,CANADA,TLSv1.3,"X25519, 253 bits",Fastly,No PQC
enbridge.com,control,CANADA,TLSv1.3,"ECDH, prime256v1, 256 bits",Azure Front Door,No PQC
tcenergy.com,control,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
suncor.com,control,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
atco.com,control,CANADA,TLSv1.2,"ECDH, secp384r1, 384 bits",Fastly,No PQC
gotransit.com,transport,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
octranspo.com,transport,CANADA,TLSv1.3,"X25519, 253 bits",Microsoft (Azure),No PQC
translink.ca,transport,CANADA,TLSv1.3,"ECDH, secp521r1, 521 bits",Azure Front Door,No PQC
stm.info,transport,CANADA,TLSv1.3,"DH, 3072 bits",Self-hosted,No PQC
cmhc-schl.gc.ca,gov,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Microsoft (Azure),No PQC
bac-lac.gc.ca,gov,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
mint.ca,gov,CANADA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
elections.ca,gov,CANADA,TLSv1.2,"X25519, 253 bits",Self-hosted,No PQC
x.com,control,USA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
tiktok.com,control,USA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
whatsapp.com,control,USA,TLSv1.3,X25519MLKEM768,Self-hosted,PQC own effort
discord.com,control,USA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
slack.com,control,USA,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
zoom.us,control,USA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
dropbox.com,control,USA,TLSv1.3,"X25519, 253 bits",Dropbox,No PQC
twitch.tv,control,USA,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
pinterest.com,control,USA,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
snapchat.com,control,USA,TLSv1.3,"X25519, 253 bits",Google,No PQC
bankofamerica.com,bank,USA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
citibank.com,bank,USA,TLSv1.2,"ECDH, prime256v1, 256 bits",Akamai,No PQC
usa.gov,gov,USA,TLSv1.3,"X25519, 253 bits",Amazon CloudFront,No PQC
raymondjames.ca,bank,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
ig.ca,bank,CANADA,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
questrade.com,bank,CANADA,TLSv1.3,"DH, 3072 bits",Cloudflare,No PQC
duca.com,bank,CANADA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
libro.ca,bank,CANADA,TLSv1.3,"X25519, 253 bits",Microsoft (Azure),No PQC
usaa.com,bank,USA,TLSv1.3,X25519MLKEM768,Akamai,PQC via provider
vanguard.com,bank,USA,TLSv1.3,X25519MLKEM768,Akamai,PQC via provider
fidelity.com,bank,USA,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
ocadu.ca,university,CANADA,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
ufv.ca,university,CANADA,TLSv1.2,"ECDH, secp384r1, 384 bits",Self-hosted,No PQC
tru.ca,university,CANADA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
royalroads.ca,university,CANADA,TLSv1.2,"X25519, 253 bits",Self-hosted,No PQC
westernu.ca,university,CANADA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
horizonnb.ca,hospital,CANADA,TLSv1.3,X25519MLKEM768,Amazon (AWS),PQC via provider
saskhealthauthority.ca,hospital,CANADA,TLSv1.2,"ECDH, secp384r1, 384 bits",Self-hosted,No PQC
intuit.com,control,USA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
adobe.com,control,USA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
salesforce.com,control,USA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
oracle.com,control,USA,TLSv1.2,"X25519, 253 bits",Oracle Cloud,No PQC
ibm.com,control,USA,TLSv1.3,X25519MLKEM768,Akamai,PQC via provider
globalnews.ca,media,CANADA,TLSv1.3,"X25519, 253 bits",Automattic,No PQC
ledevoir.com,media,CANADA,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
montrealgazette.com,media,CANADA,TLSv1.3,"X25519, 253 bits",Automattic,No PQC
flyporter.com,transport,CANADA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
airtransat.com,transport,CANADA,TLSv1.3,X25519MLKEM768,Imperva (Incapsula),PQC via provider
expedia.ca,retail,CANADA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
booking.com,retail,USA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
tripadvisor.com,control,USA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
royal.uk,gov,UK,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
parliament.uk,gov,UK,TLSv1.2,"X25519, 253 bits",Cloudflare,No PQC
abc.net.au,media,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
commbank.com.au,bank,AUSTRALIA,TLSv1.2,"X25519, 253 bits",Cloudflare,No PQC
anz.com.au,bank,AUSTRALIA,TLSv1.3,X25519MLKEM768,Imperva (Incapsula),PQC via provider
westpac.com.au,bank,AUSTRALIA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
nab.com.au,bank,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
gstatic.com,control,USA,TLSv1.3,X25519MLKEM768,Google,PQC own effort
googleapis.com,control,USA,TLSv1.3,X25519MLKEM768,Google,PQC own effort
amazonaws.com,control,USA,TLSv1.3,"X25519, 253 bits",Amazon CloudFront,No PQC
mail.ru,control,RUSSIA,TLSv1.2,"X25519, 253 bits",Self-hosted,No PQC
fbcdn.net,control,USA,TLSv1.3,X25519MLKEM768,Self-hosted,PQC own effort
twitter.com,control,USA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
dzen.ru,control,RUSSIA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
googletagmanager.com,control,USA,TLSv1.3,X25519MLKEM768,Google,PQC own effort
googlevideo.com,control,USA,TLSv1.3,X25519MLKEM768,Google,PQC own effort
live.com,control,USA,TLSv1.3,"ECDH, secp521r1, 521 bits",Azure Front Door,No PQC
office.com,control,USA,TLSv1.3,"ECDH, secp521r1, 521 bits",Azure Front Door,No PQC
azure.com,control,USA,TLSv1.3,"X25519, 253 bits",Azure Front Door,No PQC
googleusercontent.com,control,USA,TLSv1.3,X25519MLKEM768,Google,PQC own effort
doubleclick.net,control,USA,TLSv1.3,X25519MLKEM768,Google,PQC own effort
bing.com,control,USA,TLSv1.3,"ECDH, secp521r1, 521 bits",Azure Front Door,No PQC
appsflyersdk.com,control,USA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
fastly.net,control,USA,TLSv1.2,"X25519, 253 bits",Fastly,No PQC
whatsapp.net,control,USA,TLSv1.3,X25519MLKEM768,Self-hosted,PQC own effort
digicert.com,control,USA,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
wordpress.org,control,USA,TLSv1.3,X25519MLKEM768,Automattic,PQC own effort
skype.com,control,USA,TLSv1.3,"X25519, 253 bits",Azure Front Door,No PQC
sharepoint.com,control,USA,TLSv1.3,"ECDH, secp521r1, 521 bits",Azure Front Door,No PQC
youtu.be,control,USA,TLSv1.3,X25519MLKEM768,Google,PQC own effort
