site,sector,country,tls_version,key_exchange,cdn,attribution
softbank.jp,bank,JAPAN,TLSv1.3,"ECDH, secp384r1, 384 bits",Microsoft (Azure),No PQC
granbluefantasy.jp,web,JAPAN,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
tv-asahi.co.jp,web,JAPAN,TLSv1.2,"ECDH, prime256v1, 256 bits",Fastly,No PQC
pia.jp,web,JAPAN,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
buyee.jp,web,JAPAN,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
impact-ad.jp,web,JAPAN,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
so-net.ne.jp,web,JAPAN,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon CloudFront,No PQC
nhk.jp,web,JAPAN,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
auone.jp,web,JAPAN,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
oricon.co.jp,web,JAPAN,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
exblog.jp,web,JAPAN,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
mixi.jp,web,JAPAN,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
sponichi.co.jp,web,JAPAN,TLSv1.2,"ECDH, prime256v1, 256 bits",Fastly,No PQC
diamond.jp,web,JAPAN,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
carview.co.jp,web,JAPAN,TLSv1.3,"X25519, 253 bits",IDC Frontier,No PQC
chunichi.co.jp,web,JAPAN,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
jorudan.co.jp,web,JAPAN,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
microad.jp,web,JAPAN,TLSv1.3,"X25519, 253 bits",Amazon CloudFront,No PQC
homes.co.jp,web,JAPAN,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon CloudFront,No PQC
iinet.net.au,web,AUSTRALIA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
anu.edu.au,university,AUSTRALIA,TLSv1.2,"ECDH, secp384r1, 384 bits",Self-hosted,No PQC
realestate.com.au,web,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
unsw.edu.au,university,AUSTRALIA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
theiconic.com.au,web,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
ebay.com.au,web,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
uq.edu.au,university,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Fastly,No PQC
nla.gov.au,gov,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
sydney.edu.au,university,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Amazon CloudFront,No PQC
theage.com.au,web,AUSTRALIA,TLSv1.2,"X25519, 253 bits",Fastly,No PQC
seek.com.au,web,AUSTRALIA,TLSv1.2,"ECDH, prime256v1, 256 bits",Cloudflare,No PQC
sbs.com.au,web,AUSTRALIA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
jbhifi.com.au,web,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
telstra.com.au,web,AUSTRALIA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon CloudFront,No PQC
bunnings.com.au,web,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Cloudflare,No PQC
adelaide.edu.au,university,AUSTRALIA,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
theaustralian.com.au,web,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
mq.edu.au,university,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
domain.com.au,web,AUSTRALIA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
tpgi.com.au,web,AUSTRALIA,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
ancestry.com.au,web,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
bom.gov.au,gov,AUSTRALIA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
deakin.edu.au,university,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Cloudflare,No PQC
coles.com.au,web,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Imperva (Incapsula),No PQC
9news.com.au,media,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Fastly,No PQC
uwa.edu.au,university,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
newcastle.edu.au,university,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
blogspot.com.au,web,AUSTRALIA,TLSv1.3,X25519MLKEM768,Google,PQC own effort
auspost.com.au,web,AUSTRALIA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
kmart.com.au,web,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
uts.edu.au,university,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Cloudflare,No PQC
health.gov.au,gov,AUSTRALIA,TLSv1.3,X25519MLKEM768,Amazon (AWS),PQC via provider
austlii.edu.au,university,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
rmit.edu.au,university,AUSTRALIA,TLSv1.3,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
homeaffairs.gov.au,gov,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
nine.com.au,web,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Fastly,No PQC
monash.edu.au,university,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
bigw.com.au,web,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
gumtree.com.au,web,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
usyd.edu.au,university,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Amazon CloudFront,No PQC
qut.edu.au,university,AUSTRALIA,TLSv1.2,"DH, 2048 bits",Cloudflare,No PQC
woolworths.com.au,web,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
optus.com.au,web,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
dailytelegraph.com.au,web,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
uow.edu.au,university,AUSTRALIA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
afl.com.au,web,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Amazon CloudFront,No PQC
ato.gov.au,gov,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
abs.gov.au,gov,AUSTRALIA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
heraldsun.com.au,web,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
aph.gov.au,gov,AUSTRALIA,TLSv1.3,"ECDH, prime256v1, 256 bits",Azure Front Door,No PQC
healthdirect.gov.au,gov,AUSTRALIA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
vu.edu.au,university,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Cloudflare,No PQC
my.gov.au,gov,AUSTRALIA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
oaic.gov.au,gov,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
carsales.com.au,web,AUSTRALIA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
hotcopper.com.au,web,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
ozbargain.com.au,web,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
latrobe.edu.au,university,AUSTRALIA,TLSv1.2,"ECDH, prime256v1, 256 bits",Cloudflare,No PQC
utas.edu.au,university,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
vodafone.com.au,web,AUSTRALIA,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
digitalpacific.com.au,web,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
swin.edu.au,university,AUSTRALIA,TLSv1.2,"ECDH, prime256v1, 256 bits",Azure Front Door,No PQC
myer.com.au,web,AUSTRALIA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
curtin.edu.au,university,AUSTRALIA,TLSv1.3,X25519MLKEM768,Amazon (AWS),PQC via provider
griffith.edu.au,university,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
7news.com.au,media,AUSTRALIA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
pinterest.com.au,web,AUSTRALIA,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
coolrom.com.au,web,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
couriermail.com.au,web,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
nt.gov.au,gov,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
crucial.com.au,web,AUSTRALIA,TLSv1.2,"X25519, 253 bits",Cloudflare,No PQC
eventbrite.com.au,web,AUSTRALIA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
dfat.gov.au,gov,AUSTRALIA,TLSv1.3,X25519MLKEM768,Amazon (AWS),PQC via provider
jcu.edu.au,university,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
unisa.edu.au,university,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Fastly,No PQC
csu.edu.au,university,AUSTRALIA,TLSv1.3,"ECDH, prime256v1, 256 bits",Cloudflare,No PQC
skynews.com.au,media,AUSTRALIA,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
locanto.com.au,web,AUSTRALIA,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
tripadvisor.com.au,web,AUSTRALIA,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
letras.mus.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
xvideo.vlog.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
ntp.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
locaweb.com.br,web,BRAZIL,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
nubank.com.br,bank,BRAZIL,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
magazineluiza.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
intelbras.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Cloudflare,No PQC
ifood.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
usp.br,web,BRAZIL,TLSv1.2,"X25519, 253 bits",Self-hosted,No PQC
santander.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Akamai,PQC via provider
casasbahia.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
bb.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
itau.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
serpro.gov.br,gov,BRAZIL,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
abril.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Automattic,No PQC
kinghost.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
netshoes.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
reclameaqui.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
estadao.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
vivo.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
sicredi.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
mercadopago.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
bradesco.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Akamai,No PQC
correios.com.br,web,BRAZIL,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
bancointer.com.br,bank,BRAZIL,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
rnp.br,web,BRAZIL,TLSv1.2,"X25519, 253 bits",Cloudflare,No PQC
clickpetroleoegas.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
serasa.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
scielo.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",OVH,No PQC
enjoei.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
correiobraziliense.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
planalto.gov.br,gov,BRAZIL,TLSv1.2,"ECDH, secp384r1, 384 bits",Self-hosted,No PQC
ig.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Cloudflare,No PQC
claro.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
lojasrenner.com.br,web,BRAZIL,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
kabum.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
drogasil.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
webmotors.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Amazon CloudFront,No PQC
cifraclub.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Self-hosted,No PQC
poder360.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
em.com.br,web,BRAZIL,TLSv1.2,"ECDH, prime256v1, 256 bits",Self-hosted,No PQC
madeiramadeira.com.br,web,BRAZIL,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
chavesnamao.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
dafiti.com.br,web,BRAZIL,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon (AWS),No PQC
cartacapital.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
boticario.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
zapimoveis.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Cloudflare,No PQC
otempo.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Fastly,PQC via provider
americanas.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Amazon CloudFront,PQC via provider
espn.com.br,web,BRAZIL,TLSv1.2,"ECDH, prime256v1, 256 bits",Amazon CloudFront,No PQC
privacy.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
lance.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
bling.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
catracalivre.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
ndmais.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Google,PQC via provider
climatempo.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Cloudflare,No PQC
itatiaia.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Automattic,No PQC
catho.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Amazon (AWS),No PQC
correio24horas.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
flashscore.com.br,web,BRAZIL,TLSv1.3,"X25519, 253 bits",Fastly,No PQC
bcb.gov.br,gov,BRAZIL,TLSv1.3,"ECDH, prime256v1, 256 bits",Azure Front Door,No PQC
bibliaonline.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
radios.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
tudogostoso.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
nsctotal.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
oantagonista.com.br,web,BRAZIL,TLSv1.3,X25519MLKEM768,Cloudflare,PQC via provider
